Iteracao,Tempo Bubble-sort,Tempo Selection-sort,Tempo Merge-Sort,Tempo Quick-sort,Tempo Radix-sort
0,1.129782109000189,0.5644137310000588,0.00523068400025295,0.004758331999710208,0.004536223999821232
1,1.094322949999878,0.603101623999919,0.008476180000343447,0.007407208000131504,0.00788143299996591
2,1.3246672039999794,0.4034905799999251,0.00493060400003742,0.004631291999885434,0.004327707999891572
3,1.1521064690000458,0.5960358310003357,0.008141978999901767,0.007407175000025745,0.007610799999838491
4,1.1864562429996113,0.5958742770003482,0.008185855000192532,0.007150064000143175,0.0074902360001942725
5,1.2265323100000387,0.5927831439998954,0.008242399000209844,0.00765251500024533,0.007460456999979215
6,1.1820486589999746,0.5984716389998539,0.00831248999975287,0.007230419000279653,0.007570407000002888
7,1.1797216980003213,0.5965997240000434,0.008266115999958856,0.00808207600039168,0.0074843580000560905
8,1.033185682000294,0.596430509000129,0.008356609999736975,0.007393424000383675,0.007812958000158687
9,1.185256852999828,0.6007837349998226,0.008184783000160678,0.007432728999901883,0.008242950000294513
10,1.1790842280001925,0.5959547749998819,0.008104877999812743,0.007292552999842883,0.0074644400001488975
11,1.2972135620002518,0.5945471569998517,0.008303239000269969,0.007873678000123618,0.007556364000265603
12,1.1844017299999905,0.6001079470001969,0.008281842000087636,0.007518261999848619,0.007833800000298652
13,1.3012521059999926,0.5946365439999681,0.008113074999982928,0.007209876000160875,0.007449880999956804
14,1.198628817000099,0.6001433110000107,0.008268613999916852,0.007199022000349942,0.007739397000023018
15,1.2063799679999647,0.5965473189999102,0.00813192399982654,0.0073686609998731,0.007861588000196207
16,1.1810582880002585,0.5972999330001585,0.008208760999877995,0.0075596390001919644,0.007536802999766223
17,1.1752285739999024,0.5965098079996096,0.00826329200026521,0.007721094000316953,0.007544554000105563
18,1.1754510929999924,0.5929852869999195,0.008212179000111064,0.0072760330003802665,0.007573051000235864
19,1.1859133250000014,0.6008386769999561,0.008173781000095914,0.007388519999949494,0.007528677000209427
